DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION,GROUP_L1_NAME,GROUP_L2_NAME,GROUP_L3_NAME,GROUP_L3_CODE
0010,Cholera due to vibrio cholerae,Cholera d/t vib cholerae,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Cholera,001
0011,Cholera due to vibrio cholerae el tor,Cholera d/t vib el tor,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Cholera,001
0019,"Cholera, unspecified",Cholera NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Cholera,001
0020,Typhoid fever,Typhoid fever,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,002
0021,Paratyphoid fever A,Paratyphoid fever a,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,002
0022,Paratyphoid fever B,Paratyphoid fever b,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,002
0023,Paratyphoid fever C,Paratyphoid fever c,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,002
0029,"Paratyphoid fever, unspecified",Paratyphoid fever NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid and paratyphoid fevers,002
0030,Salmonella gastroenteritis,Salmonella enteritis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
0031,Salmonella septicemia,Salmonella septicemia,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
00320,"Localized salmonella infection, unspecified",Local salmonella inf NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
00321,Salmonella meningitis,Salmonella meningitis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
00322,Salmonella pneumonia,Salmonella pneumonia,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
00323,Salmonella arthritis,Salmonella arthritis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
00324,Salmonella osteomyelitis,Salmonella osteomyelitis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
00329,Other localized salmonella infections,Local salmonella inf NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
0038,Other specified salmonella infections,Salmonella infection NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
0039,"Salmonella infection, unspecified",Salmonella infection NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other salmonella infections,003
0040,Shigella dysenteriae,Shigella dysenteriae,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,004
0041,Shigella flexneri,Shigella flexneri,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,004
0042,Shigella boydii,Shigella boydii,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,004
0043,Shigella sonnei,Shigella sonnei,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,004
0048,Other specified shigella infections,Shigella infection NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,004
0049,"Shigellosis, unspecified",Shigellosis NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,004
0050,Staphylococcal food poisoning,Staph food poisoning,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),005
0051,Botulism food poisoning,Botulism food poisoning,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),005
0052,Food poisoning due to Clostridium perfringens (C. welchii),Food pois d/t c. perfrin,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),005
0053,Food poisoning due to other Clostridia,Food pois: clostrid NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),005
0054,Food poisoning due to Vibrio parahaemolyticus,Food pois: v. parahaem,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),005
00581,Food poisoning due to Vibrio vulnificus,Food poisn d/t v. vulnif,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),005
00589,Other bacterial food poisoning,Bact food poisoning NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),005
0059,"Food poisoning, unspecified",Food poisoning NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),005
0060,Acute amebic dysentery without mention of abscess,Ac amebiasis w/o abscess,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,006
0061,Chronic intestinal amebiasis without mention of abscess,Chr amebiasis w/o absces,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,006
0062,Amebic nondysenteric colitis,Amebic nondysent colitis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,006
0063,Amebic liver abscess,Amebic liver abscess,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,006
0064,Amebic lung abscess,Amebic lung abscess,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,006
0065,Amebic brain abscess,Amebic brain abscess,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,006
0066,Amebic skin ulceration,Amebic skin ulceration,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,006
0068,Amebic infection of other sites,Amebic infection NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,006
0069,"Amebiasis, unspecified",Amebiasis NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,006
0070,Balantidiasis,Balantidiasis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,007
0071,Giardiasis,Giardiasis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,007
0072,Coccidiosis,Coccidiosis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,007
0073,Intestinal trichomoniasis,Intest trichomoniasis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,007
0074,Cryptosporidiosis,Cryptosporidiosis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,007
0075,Cyclosporiasis,Cyclosporiasis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,007
0078,Other specified protozoal intestinal diseases,Protozoal intest dis NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,007
0079,Unspecified protozoal intestinal disease,Protozoal intest dis NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,007
00800,"Intestinal infection due to E. coli, unspecified",Intest infec e coli NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00801,Intestinal infection due to enteropathogenic E. coli,Int inf e coli entrpath,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00802,Intestinal infection due to enterotoxigenic E. coli,Int inf e coli entrtoxgn,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00803,Intestinal infection due to enteroinvasive E. coli,Int inf e coli entrnvsv,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00804,Intestinal infection due to enterohemorrhagic E. coli,Int inf e coli entrhmrg,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00809,Intestinal infection due to other intestinal E. coli infections,Int inf e coli spcf NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
0081,Intestinal infection due to arizona group of paracolon bacilli,Arizona enteritis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
0082,Intestinal infection due to aerobacter aerogenes,Aerobacter enteritis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
0083,Intestinal infection due to proteus (mirabilis) (morganii),Proteus enteritis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00841,Intestinal infection due to staphylococcus,Staphylococc enteritis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00842,Intestinal infection due to pseudomonas,Pseudomonas enteritis,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00843,Intestinal infection due to campylobacter,Int infec campylobacter,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00844,Intestinal infection due to yersinia enterocolitica,Int inf yrsnia entrcltca,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00845,Intestinal infection due to Clostridium difficile,Int inf clstrdium dfcile,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00846,Intestinal infection due to other anaerobes,Intes infec oth anerobes,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00847,Intestinal infection due to other gram-negative bacteria,Int inf oth grm neg bctr,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00849,Intestinal infection due to other organisms,Bacterial enteritis NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
0085,"Bacterial enteritis, unspecified",Bacterial enteritis NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00861,Enteritis due to rotavirus,Intes infec rotavirus,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00862,Enteritis due to adenovirus,Intes infec adenovirus,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00863,Enteritis due to norwalk virus,Int inf norwalk virus,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00864,Enteritis due to other small round viruses [SRV's],Int inf oth sml rnd vrus,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00865,Enteritis due to calicivirus,Enteritis d/t calicivirs,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00866,Enteritis due to astrovirus,Intes infec astrovirus,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00867,Enteritis due to enterovirus nec,Int inf enterovirus NEC,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
00869,Enteritis due to other viral enteritis,Other viral intes infec,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
0088,"Intestinal infection due to other organism, not elsewhere classified",Viral enteritis NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,008
0090,"Infectious colitis, enteritis, and gastroenteritis",Infectious enteritis NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-defined intestinal infections,009
0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",Enteritis of infect orig,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-defined intestinal infections,009
0092,Infectious diarrhea,Infectious diarrhea NOS,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-defined intestinal infections,009
0093,Diarrhea of presumed infectious origin,Diarrhea of infect orig,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-defined intestinal infections,009
01000,"Primary tuberculous infection, unspecified",Prim TB complex-unspec,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01001,"Primary tuberculous infection, bacteriological or histological examination not done",Prim TB complex-no exam,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01002,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",Prim TB complex-exm unkn,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01003,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",Prim TB complex-micro dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01004,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim TB complex-cult dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01005,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim TB complex-histo dx,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01006,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim TB complex-oth test,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01010,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",Prim TB pleurisy-unspec,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
01011,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",Prim TB pleurisy-no exam,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,010
